Feature,Correlation
askNc_0,-0.07516469385986672
askSize_0,-0.05516514159950777
askNc_1,-0.02445159415010821
askSize_1,-0.022703814354428257
askRate_7,-0.01088911798105278
askRate_0,-0.010835702026381115
askRate_6,-0.010747126833394826
askRate_5,-0.010674035479831381
askRate_4,-0.010625497173431742
askRate_3,-0.010607961590984191
askRate_2,-0.010591921401562863
askRate_1,-0.010566761152025792
bidRate_0,-0.01045783327805647
bidRate_1,-0.009791367826955008
bidRate_2,-0.009536182390469739
bidRate_3,-0.009232641974966612
bidRate_4,-0.00896334229002375
bidRate_5,-0.008760655160917999
bidRate_6,-0.00859640333130728
bidRate_7,-0.008395159689949257
askNc_4,-0.004053731255164093
bidNc_7,-0.0028620512214319123
askSize_4,-0.0006059870751157425
askNc_6,0.0010198333366878314
bidNc_6,0.0015002669236297342
askNc_5,0.002633300065108808
bidSize_6,0.0032702561013834967
askSize_2,0.003921843846716774
askNc_3,0.005121121711510003
askSize_3,0.005370365873659778
bidSize_7,0.005649198572220847
askSize_6,0.008380597128041845
askSize_5,0.008601145964030481
askNc_7,0.008856361274403457
askNc_2,0.010014548591058603
bidNc_5,0.012474078721374404
bidSize_2,0.014299777346866514
askSize_7,0.01593022910446875
bidSize_5,0.016156068980805974
bidNc_3,0.0164675925188884
bidNc_4,0.018324798899408894
bidSize_3,0.020496557646755714
bidNc_2,0.023109646583731193
bidSize_4,0.028580309652476515
bidSize_1,0.03939799815346458
bidSize_0,0.04650236559963458
bidNc_1,0.05419145828511771
bidNc_0,0.08209042466665317
