horizon_ticks,mean_ic,std_ic,n_stocks
5,0.03612737751113574,0.03326733466829198,80
10,0.046651713488059736,0.044463680274038006,80
20,0.04479857448386045,0.05259831239519729,80
30,0.047982941531328635,0.04977351135673105,80
50,0.03676725280686507,0.027695115060786982,75
75,0.03650920418246096,0.038895161294623996,73
100,0.039066959347667005,0.0436802353106502,73
150,0.04817335857249379,0.0560978221041435,71
200,0.03854460711111957,0.03698426839532322,70
300,0.03674708551662799,0.03752571253695084,66
500,0.05016769082916534,0.05663812226692045,62
1000,0.049651168329144936,0.046936552716556876,39
